Date,Open,High,Low,Close,Volume
2025-02-12,116.50,118.05,116.37,117.91,8555600
2025-02-13,118.12,119.65,117.96,119.58,7829600
2025-02-14,119.48,120.08,119.26,119.99,4557000
2025-02-18,120.61,121.10,120.04,121.08,6024000
2025-02-19,120.94,121.57,120.10,121.09,5604200
2025-02-20,120.97,121.14,119.43,120.71,5987400
2025-02-21,120.74,120.79,117.38,117.43,9057600
2025-02-24,117.89,118.22,115.61,115.75,7447600
2025-02-25,115.51,115.61,113.47,114.25,10433600
2025-02-26,115.38,116.59,114.61,115.50,7630600
2025-02-27,116.13,116.25,111.25,111.29,10100000
2025-02-28,110.79,112.88,109.85,112.76,14172200
2025-03-03,113.35,113.57,108.53,109.33,12516200
2025-03-04,108.53,111.18,107.13,109.25,17721000
2025-03-05,109.59,111.14,108.12,110.79,11931000
2025-03-06,108.51,110.22,107.19,107.71,16432000
2025-03-07,107.58,109.54,106.32,109.27,11263400
2025-03-10,107.11,107.31,103.54,104.62,21561800
2025-03-11,104.31,105.96,103.14,104.20,14832800
2025-03-12,106.06,106.76,104.57,105.84,10981600
2025-03-13,105.54,105.77,103.43,103.83,12383000
